Generation,Best fitness,Worst fitness,Average fitness
1,18.8,2.8,10.404081632653066
2,19.2,3.4,10.527551020408163
3,19.4,5.2,10.72551020408163
4,19.8,2.8,10.67448979591837
5,17.8,3.8,10.862244897959187
6,20.4,2.0,10.611224489795914
7,20.6,2.4,11.176530612244893
8,20.0,3.8,11.374489795918365
9,19.4,4.0,11.0530612244898
10,20.8,1.8,11.327551020408162
11,21.0,3.6,10.643877551020402
12,20.8,3.2,11.006122448979585
13,20.6,4.2,11.571428571428571
14,19.2,3.8,11.100000000000005
15,20.8,1.8,11.155102040816324
16,21.8,2.8,11.66428571428572
17,24.4,5.0,12.363265306122443
18,24.4,3.2,11.839795918367342
19,22.2,4.2,11.77040816326531
20,24.0,3.8,12.047959183673457
21,25.6,4.0,12.597959183673463
22,24.4,4.6,13.180612244897953
23,23.4,3.6,12.694897959183672
24,24.2,3.6,12.935714285714276
25,25.4,4.0,13.23265306122449
26,25.4,4.6,13.160204081632653
27,24.6,3.8,13.359183673469383
28,26.8,4.4,13.37448979591837
29,30.8,3.6,14.328571428571424
30,29.4,3.4,14.396938775510208
31,31.0,4.4,14.858163265306123
32,30.2,4.2,15.433673469387749
33,29.0,5.0,15.479591836734691
34,27.0,5.4,14.567346938775515
35,27.4,6.0,15.096938775510207
36,28.4,4.6,16.068367346938764
37,29.2,6.2,16.659183673469382
38,30.0,4.2,16.3173469387755
39,29.2,3.0,16.66020408163266
40,31.6,6.4,17.42040816326531
41,29.6,6.6,17.336734693877553
42,31.6,5.4,16.921428571428567
43,28.2,6.2,16.764285714285716
44,28.4,6.6,16.140816326530615
45,31.0,3.0,17.168367346938762
46,29.6,6.0,16.425510204081622
47,31.2,6.4,17.547959183673466
48,32.0,5.2,17.424489795918372
49,30.0,6.0,16.176530612244896
50,31.8,3.8,16.46836734693878
51,34.0,5.4,17.468367346938777
52,29.4,6.8,16.694897959183663
53,29.8,5.0,16.39285714285715
54,30.0,3.8,16.225510204081626
55,33.0,6.6,17.28673469387755
56,32.8,7.6,17.051020408163275
57,33.4,6.2,17.956122448979595
58,32.8,6.2,17.569387755102042
59,31.8,4.8,17.50918367346938
60,33.8,7.2,18.630612244897954
61,33.6,6.2,18.68163265306123
62,32.8,6.4,17.82448979591837
63,32.2,4.8,17.82346938775511
64,33.4,5.6,18.952040816326534
65,31.6,6.6,17.845918367346947
66,31.2,7.8,17.886734693877546
67,34.2,5.8,18.885714285714293
68,32.6,8.4,18.61122448979593
69,32.6,6.4,17.827551020408162
70,32.0,7.6,18.07551020408164
71,31.6,6.8,17.158163265306122
72,32.6,5.6,17.662244897959184
73,33.0,3.4,17.161224489795917
74,35.4,3.8,18.112244897959183
75,34.4,5.4,17.658163265306126
76,34.0,6.6,18.179591836734694
77,35.6,6.2,18.015306122448987
78,34.4,5.4,17.638775510204084
79,34.6,6.4,17.977551020408164
80,33.0,6.6,18.063265306122453
81,35.2,3.4,18.031632653061216
82,34.2,6.6,17.869387755102036
83,33.8,6.0,18.082653061224494
84,34.0,6.4,19.59081632653061
85,33.8,6.4,18.317346938775508
86,34.0,6.2,19.370408163265306
87,35.6,3.8,19.925510204081633
88,33.4,5.8,18.8704081632653
89,33.2,6.0,19.114285714285707
90,36.0,7.4,21.105102040816323
91,35.4,8.8,19.794897959183672
92,35.2,3.6,19.19795918367347
93,36.4,6.6,19.429591836734687
94,35.4,6.8,19.568367346938775
95,33.8,7.6,18.88673469387754
96,35.4,6.2,19.474489795918355
97,34.4,5.4,18.880612244897964
98,33.8,7.2,19.752040816326527
99,34.2,7.0,20.12448979591836
100,34.6,6.4,19.30918367346938
101,37.8,8.2,20.648979591836735
102,36.2,7.0,20.21020408163265
103,36.0,8.8,19.872448979591834
104,37.6,6.4,19.15408163265306
105,34.6,6.0,19.15510204081632
106,36.0,6.4,19.856122448979608
107,38.2,5.2,19.864285714285714
108,34.4,7.2,18.942857142857143
109,37.4,7.2,20.13877551020409
110,38.6,8.0,19.91020408163265
111,39.0,5.8,19.428571428571434
112,36.0,5.2,18.415306122448975
113,36.2,4.8,18.53061224489795
114,35.6,7.2,17.842857142857145
115,35.0,7.2,18.205102040816325
116,37.8,6.0,20.287755102040812
