Generation,Best fitness,Worst fitness,Average fitness
1,19.0,2.4,10.58061224489796
2,19.0,2.8,10.778571428571425
3,18.4,3.0,10.57142857142857
4,20.4,3.2,10.73979591836734
5,20.0,4.6,11.003061224489791
6,21.2,3.6,10.824489795918364
7,20.0,3.6,11.019387755102041
8,20.4,4.0,10.835714285714287
9,19.6,4.0,11.231632653061226
10,23.0,3.2,11.388775510204082
11,20.8,1.8,11.0765306122449
12,23.2,2.4,11.239795918367342
13,22.6,4.0,11.639795918367344
14,23.2,2.6,11.355102040816321
15,23.6,3.6,11.859183673469383
16,22.2,3.0,11.857142857142854
17,24.2,3.6,12.20816326530612
18,24.2,3.2,11.770408163265303
19,26.4,3.0,11.737755102040826
20,26.8,3.0,12.100000000000001
21,24.6,4.0,12.446938775510207
22,25.4,2.8,12.306122448979599
23,29.6,3.0,12.628571428571423
24,25.4,2.8,12.479591836734691
25,29.2,3.8,12.764285714285712
26,28.2,3.8,12.526530612244898
27,27.6,3.2,13.134693877551028
28,28.6,2.8,13.227551020408162
29,27.8,3.0,13.835714285714289
30,28.2,2.4,13.50816326530612
31,26.4,5.0,12.58571428571428
32,28.4,3.8,12.913265306122447
33,28.4,4.4,13.004081632653069
34,30.6,3.4,14.146938775510206
35,29.2,3.4,14.286734693877545
36,28.8,5.6,14.57857142857143
37,29.2,4.6,14.882653061224488
38,31.6,5.6,15.2734693877551
39,30.6,5.0,15.184693877551021
40,29.8,5.4,15.662244897959187
41,31.8,4.6,15.523469387755107
42,31.0,5.0,16.12040816326531
43,31.0,1.8,16.310204081632655
44,30.6,4.8,16.28163265306122
45,28.8,2.4,15.335714285714296
46,31.6,5.6,15.759183673469387
47,32.4,4.2,17.11530612244898
48,32.4,5.0,15.959183673469383
49,30.8,5.6,15.821428571428577
50,32.2,3.8,15.731632653061226
51,31.0,6.2,16.003061224489798
52,31.4,5.0,15.84183673469388
53,33.8,6.6,16.840816326530618
54,34.2,7.2,16.68163265306122
55,33.0,4.4,16.459183673469393
56,32.6,6.0,15.922448979591838
57,33.8,5.8,16.799999999999994
58,34.4,4.0,16.96938775510204
59,34.2,3.8,16.265306122448976
60,32.8,6.4,15.663265306122451
61,34.8,4.6,16.684693877551023
62,32.4,4.8,15.616326530612241
63,35.0,4.0,16.32857142857143
64,35.4,5.4,16.181632653061225
65,38.8,3.0,17.346938775510207
66,36.2,3.2,16.859183673469385
67,36.2,5.2,16.809183673469395
68,36.4,5.6,17.04489795918368
69,34.8,7.2,17.660204081632642
70,38.2,5.6,18.505102040816336
71,33.6,7.6,16.19489795918367
72,34.2,2.8,16.215306122448975
73,36.0,5.8,17.037755102040823
74,37.0,5.6,17.030612244897966
75,36.6,5.8,16.54183673469387
76,35.6,4.4,15.923469387755105
77,36.0,4.4,16.974489795918366
78,34.6,4.6,16.76734693877552
79,36.0,2.6,16.55816326530613
80,36.6,7.0,17.673469387755098
81,36.4,4.8,18.22244897959184
82,39.8,5.2,17.645918367346944
83,35.2,3.4,18.61224489795919
84,34.6,3.4,17.739795918367342
85,35.6,5.8,18.184693877551013
86,32.4,5.4,16.841836734693885
87,37.0,6.2,16.85
88,37.2,5.0,18.187755102040825
89,37.8,3.2,19.082653061224494
90,36.8,4.4,18.014285714285723
91,35.6,6.8,17.531632653061248
92,34.4,4.6,17.211224489795924
93,36.0,2.8,17.408163265306126
94,34.4,3.4,17.1326530612245
95,37.6,6.2,18.21632653061225
96,35.2,7.2,17.459183673469404
97,36.0,6.4,17.370408163265306
98,40.6,4.8,18.717346938775506
99,34.4,3.8,16.584693877551025
100,35.2,6.8,17.154081632653064
101,36.8,6.2,17.051020408163275
102,35.2,5.0,17.609183673469385
103,36.8,5.0,18.474489795918352
104,34.4,3.4,18.895918367346944
105,37.8,7.6,20.082653061224487
106,38.6,6.4,18.48061224489797
107,36.6,4.8,17.673469387755105
108,37.2,4.2,18.587755102040827
109,37.2,5.8,18.001020408163264
110,38.4,6.0,19.227551020408157
111,37.8,3.8,18.520408163265298
112,38.0,5.2,18.925510204081636
113,38.4,6.6,19.49081632653062
114,36.4,4.2,17.431632653061225
115,38.2,6.4,18.001020408163257
116,39.6,3.8,18.53163265306122
117,37.4,6.6,17.046938775510206
118,38.4,7.0,17.579591836734696
119,37.8,7.4,16.781632653061227
120,31.8,4.4,17.466326530612243
121,38.8,2.2,18.760204081632654
122,36.0,5.6,18.427551020408156
123,37.8,4.2,18.75816326530612
124,39.8,6.0,20.441836734693883
125,39.2,7.2,20.939795918367356
126,39.0,7.2,20.20204081632654
127,40.4,3.2,20.789795918367343
128,37.6,5.8,19.925510204081647
129,41.2,6.2,20.272448979591836
130,39.6,5.2,20.650000000000002
131,40.0,6.4,19.95816326530613
132,40.8,5.8,20.914285714285718
133,37.6,4.8,19.833673469387747
134,39.6,5.2,18.777551020408158
135,40.0,4.0,19.524489795918377
136,38.8,5.0,20.160204081632656
137,38.8,6.8,19.39693877551022
138,41.0,4.6,19.670408163265314
139,41.0,5.0,19.21020408163264
140,37.6,5.6,17.766326530612236
141,37.6,5.4,17.51938775510205
142,38.0,4.4,17.03775510204081
143,39.4,6.2,18.286734693877563
144,37.4,4.4,18.282653061224494
145,40.2,6.0,19.40714285714284
146,37.6,4.4,18.90918367346939
147,40.8,3.2,20.87142857142856
148,39.2,7.2,20.363265306122425
149,37.6,6.8,20.427551020408146
150,39.0,4.8,20.02755102040817
151,41.0,7.4,20.980612244897973
152,40.0,3.0,20.780612244897963
153,39.8,7.2,20.199999999999985
154,40.6,6.4,20.49285714285713
155,42.6,4.6,19.530612244897984
156,40.2,7.2,19.799999999999983
157,42.0,5.4,20.74285714285713
158,39.6,5.0,21.012244897959178
159,42.0,7.6,20.828571428571436
160,41.6,7.4,21.605102040816316
161,39.2,6.8,21.58571428571428
162,42.6,2.6,21.04591836734695
163,38.2,5.4,20.906122448979588
164,40.4,7.6,20.36122448979591
165,38.0,4.0,20.25306122448982
166,39.6,6.8,21.35816326530612
167,41.4,5.6,20.927551020408178
168,39.2,5.8,20.09693877551022
169,37.8,5.2,19.427551020408174
170,41.0,4.8,19.96020408163264
171,38.0,7.0,18.6765306122449
172,39.0,5.2,19.889795918367348
173,39.2,4.0,20.021428571428586
174,40.6,7.6,20.948979591836736
175,40.2,6.0,20.667346938775513
176,40.8,4.2,20.80816326530611
177,40.6,7.0,21.266326530612243
178,38.6,8.8,20.705102040816325
179,42.4,5.8,22.343877551020398
180,40.8,4.4,21.047959183673466
181,38.6,9.2,20.659183673469382
182,37.6,8.2,20.66734693877551
183,40.8,6.4,22.32244897959184
184,41.2,9.2,23.187755102040825
185,39.6,7.2,22.753061224489787
186,42.4,7.6,24.390816326530604
187,38.2,6.4,22.13877551020408
188,40.2,7.6,21.059183673469384
189,40.4,7.0,20.171428571428574
190,40.8,6.6,20.672448979591838
191,40.4,7.4,21.937755102040807
192,42.2,5.8,22.572448979591837
193,41.2,8.4,21.011224489795914
194,40.8,8.8,20.78367346938776
195,41.8,7.0,20.55816326530611
196,41.4,7.4,19.588775510204087
197,42.8,6.6,20.374489795918375
198,43.0,7.0,21.80714285714286
199,40.4,4.8,20.665306122448985
200,43.4,6.2,22.328571428571426
201,41.4,6.8,21.077551020408173
202,38.6,6.4,21.786734693877545
203,40.6,6.6,21.136734693877553
204,41.4,4.8,22.039795918367357
