Generation,Best fitness,Worst fitness,Average fitness
1,19.8,2.0,10.460204081632652
2,19.2,2.8,10.803061224489797
3,22.2,3.8,11.172448979591838
4,22.4,3.2,10.784693877551021
5,20.2,2.4,11.0969387755102
6,24.6,4.6,11.153061224489797
7,23.2,3.2,11.09183673469387
8,23.4,2.6,10.991836734693882
9,26.4,4.2,11.363265306122448
10,24.4,3.2,11.329591836734684
11,22.6,3.2,11.511224489795913
12,23.0,2.8,11.484693877551019
13,23.4,2.2,11.790816326530612
14,21.0,2.2,11.388775510204088
15,24.2,1.4,11.801020408163259
16,24.0,1.4,11.874489795918361
17,23.2,4.0,12.114285714285717
18,24.2,3.4,12.888775510204074
19,24.0,4.0,12.40102040816327
20,23.0,4.4,12.641836734693882
21,24.2,2.4,12.537755102040814
22,23.4,2.6,12.307142857142852
23,24.0,3.0,12.327551020408166
24,26.6,2.2,12.39285714285714
25,25.0,4.6,13.005102040816329
26,23.8,3.0,12.187755102040814
27,26.2,2.6,12.924489795918367
28,23.8,2.6,12.532653061224485
29,24.2,2.8,12.958163265306135
30,25.4,2.8,13.347959183673472
31,24.4,3.6,13.590816326530613
32,24.6,4.6,13.500000000000005
33,24.2,2.2,13.3530612244898
34,26.2,4.0,13.556122448979592
35,25.8,4.0,12.726530612244899
36,25.2,3.0,12.688775510204081
37,26.6,3.8,13.665306122448966
38,26.2,4.4,13.518367346938774
39,25.4,3.2,13.28877551020408
40,26.8,4.4,13.559183673469395
41,26.0,5.4,13.670408163265304
42,26.4,2.2,13.82448979591836
43,28.0,3.2,13.427551020408163
44,25.8,3.6,13.48571428571429
45,27.2,3.2,13.081632653061227
46,27.4,2.6,13.069387755102035
47,27.6,1.4,12.989795918367351
48,26.4,3.0,12.38775510204082
49,28.0,4.8,12.69183673469388
50,28.8,3.2,12.7234693877551
51,29.2,2.2,13.218367346938772
52,28.2,2.6,13.587755102040818
53,29.4,3.0,13.033673469387757
54,29.4,3.6,12.765306122448978
55,27.6,2.2,12.903061224489806
56,29.0,2.8,13.552040816326535
57,28.2,1.8,13.915306122448968
58,27.0,1.8,13.765306122448967
59,28.4,2.4,13.43061224489796
60,28.4,3.2,13.91326530612245
61,27.4,4.2,14.006122448979598
62,28.8,1.8,13.738775510204079
63,30.8,3.4,13.53061224489796
64,27.2,3.6,13.143877551020422
65,29.6,2.8,14.237755102040826
66,28.8,2.6,13.52448979591837
67,30.0,2.2,13.580612244897965
68,29.0,4.0,13.405102040816335
69,29.4,4.0,14.124489795918375
70,29.2,2.8,14.003061224489784
71,28.4,3.0,13.65102040816326
72,30.8,4.0,14.844897959183676
73,29.2,4.2,14.825510204081638
74,30.4,3.6,14.801020408163254
75,31.4,2.8,15.45204081632653
76,30.4,4.0,15.460204081632652
77,30.4,3.4,15.090816326530616
78,29.8,5.0,15.174489795918367
79,31.0,4.4,14.852040816326538
80,29.6,4.8,14.122448979591839
81,31.4,4.2,14.757142857142854
82,30.6,2.4,14.890816326530611
83,32.2,2.4,15.280612244897952
84,32.0,3.8,14.398979591836733
85,31.8,0.6,14.845918367346941
86,32.2,4.8,14.739795918367351
87,31.2,2.8,15.11836734693878
88,31.0,4.0,15.197959183673465
89,32.8,3.0,16.5204081632653
90,31.0,3.4,16.227551020408157
91,31.2,4.8,16.126530612244903
92,33.2,6.4,16.787755102040823
93,30.2,4.6,15.963265306122445
94,31.4,4.8,16.26020408163264
95,32.4,3.4,16.126530612244903
96,33.0,4.0,16.770408163265305
97,33.0,6.2,16.906122448979595
98,31.8,5.0,17.605102040816334
99,31.8,5.2,17.473469387755106
100,33.0,3.6,17.135714285714293
101,32.0,2.0,17.22857142857143
102,33.0,4.2,17.301020408163264
103,32.2,4.4,17.370408163265303
104,33.6,5.0,17.47244897959183
105,32.6,3.0,17.34183673469387
106,34.0,4.4,17.55612244897958
107,33.6,5.2,17.780612244897963
108,35.2,5.6,18.10510204081632
109,34.2,3.6,17.566326530612248
110,33.4,4.2,16.5734693877551
111,34.8,3.4,17.46530612244898
112,32.6,3.4,16.992857142857144
113,32.8,3.4,17.39285714285715
114,37.6,3.4,18.013265306122435
115,32.8,5.0,16.151020408163262
116,34.8,4.8,17.439795918367363
117,35.2,4.6,17.05714285714286
118,33.4,4.2,17.020408163265294
119,37.0,4.4,16.620408163265306
120,35.0,3.4,16.209183673469386
121,33.8,4.8,17.476530612244897
122,36.0,3.2,17.373469387755097
123,36.0,4.6,18.209183673469386
124,36.0,4.4,17.834693877551018
125,35.4,4.0,17.639795918367344
126,35.6,4.0,17.970408163265304
127,33.8,5.0,18.201020408163266
128,36.6,5.8,18.231632653061226
129,35.8,5.4,18.17857142857144
130,35.4,7.2,18.875510204081632
131,36.4,6.0,19.252040816326534
132,36.6,3.2,19.085714285714303
133,39.0,4.6,20.419387755102036
134,36.6,2.8,20.004081632653058
135,36.4,3.4,19.671428571428574
136,36.8,6.6,19.80306122448978
137,37.8,5.6,19.69897959183672
138,38.4,3.8,20.39591836734693
139,38.8,6.6,21.270408163265312
140,38.0,2.8,21.16734693877552
141,37.0,5.6,21.800000000000004
142,37.6,5.0,21.61938775510204
143,36.0,5.6,20.3091836734694
144,37.2,5.0,20.605102040816345
145,37.6,5.0,20.459183673469383
146,36.0,5.6,19.18163265306123
147,36.2,3.8,18.93775510204082
148,36.8,5.2,18.92959183673469
149,37.2,3.2,20.032653061224487
150,38.8,4.2,20.252040816326538
151,36.2,4.8,18.993877551020418
152,37.0,5.8,19.91224489795919
153,38.6,5.4,20.469387755102037
154,37.4,4.4,19.861224489795916
155,39.0,5.6,19.34897959183675
156,39.6,4.2,19.50612244897959
157,38.2,4.8,19.065306122448973
158,39.4,3.4,19.3673469387755
159,40.0,7.0,20.19285714285715
160,39.2,5.0,20.044897959183672
161,41.2,6.4,21.336734693877553
162,40.8,4.2,20.500000000000018
163,38.6,6.2,20.623469387755094
164,40.8,6.6,20.878571428571433
165,41.8,3.8,21.27244897959184
166,41.0,4.2,20.98163265306121
167,40.0,5.8,20.287755102040816
168,40.0,6.2,19.670408163265307
169,39.6,6.0,20.079591836734693
170,41.0,4.4,19.635714285714283
171,39.4,3.8,19.601020408163276
172,39.6,7.2,20.597959183673478
173,41.8,7.0,20.43877551020409
174,41.4,3.2,19.2173469387755
175,41.4,4.2,19.225510204081633
176,41.6,4.4,19.78061224489796
177,39.6,5.4,19.642857142857146
178,40.6,4.8,21.19897959183674
179,39.8,3.0,20.55102040816327
180,40.0,2.8,19.917346938775513
181,40.8,5.0,19.81224489795918
182,39.0,6.2,20.05102040816327
183,40.6,4.0,19.658163265306126
184,37.4,3.6,20.4469387755102
185,40.6,4.4,21.923469387755098
186,40.6,4.2,21.805102040816326
187,41.0,5.0,21.584693877551025
188,41.2,5.4,21.28163265306122
189,40.2,5.2,21.060204081632655
190,40.6,5.0,20.320408163265306
191,40.8,3.0,21.12244897959184
192,40.4,5.8,21.585714285714293
193,42.4,6.2,22.079591836734686
194,40.2,6.6,21.083673469387747
195,41.2,4.0,20.17959183673469
196,39.8,4.2,19.428571428571413
197,41.2,5.8,19.905102040816324
198,41.0,6.8,20.294897959183665
199,40.4,6.8,20.079591836734696
200,40.4,3.6,19.785714285714278
201,40.2,6.4,20.946938775510187
202,41.2,4.6,20.783673469387754
203,38.2,5.6,19.929591836734694
204,40.4,5.6,20.57551020408164
205,42.0,5.2,21.229591836734684
206,41.0,4.8,20.730612244897955
207,39.0,5.8,20.40204081632652
208,39.2,6.0,21.713265306122427
209,42.0,6.4,21.885714285714297
210,41.0,6.4,21.83163265306123
211,44.4,7.6,22.78775510204083
212,37.2,6.0,20.366326530612252
213,41.6,6.0,21.56632653061224
214,43.0,6.2,23.082653061224494
215,40.4,3.2,21.728571428571417
216,42.4,4.0,21.433673469387756
217,40.4,4.8,21.711224489795917
218,42.0,6.8,22.87653061224488
219,41.6,4.2,22.984693877551017
220,42.2,3.4,22.25918367346938
221,42.0,3.8,22.78061224489797
222,41.0,6.0,21.140816326530608
223,42.4,6.2,21.79591836734693
224,41.6,5.6,21.467346938775506
225,42.0,7.4,21.261224489795936
226,42.0,6.6,21.0357142857143
227,41.8,4.2,21.560204081632673
228,41.8,5.2,21.78061224489797
229,42.0,4.4,22.61224489795918
230,41.2,4.6,22.039795918367332
231,41.8,5.4,22.78061224489794
232,42.8,4.8,22.23571428571429
233,40.4,7.4,22.61122448979593
234,42.6,6.8,23.540816326530617
235,41.8,6.2,23.916326530612242
236,44.6,5.8,24.79285714285715
237,40.6,6.2,21.416326530612242
238,42.6,6.8,22.524489795918374
239,42.6,6.2,23.86530612244897
240,44.0,5.6,23.826530612244888
241,41.2,5.4,22.860204081632684
242,40.8,4.8,22.706122448979603
243,44.0,3.6,23.533673469387754
244,41.4,7.0,23.503061224489795
245,42.8,5.2,22.920408163265332
246,41.6,5.4,23.382653061224502
247,44.2,4.0,23.302040816326535
248,47.4,7.4,23.548979591836737
249,46.4,5.6,24.91938775510203
250,44.2,3.8,24.151020408163262
251,44.6,7.2,24.376530612244895
252,43.6,4.0,21.767346938775518
253,46.6,7.4,23.502040816326538
254,44.8,7.0,21.995918367346928
255,43.4,6.2,22.500000000000014
256,46.2,7.0,23.898979591836756
257,43.2,6.0,22.627551020408163
258,41.6,4.4,22.811224489795922
259,43.8,5.4,23.960204081632657
260,43.4,2.4,23.142857142857135
